epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7196,0.44916,0.32562,0.88843,0.9844,0.98919,0.99108,0.88769,0.53021,0.29388,0.85252,9.4894e-05,9.4894e-05,9.4894e-05
2,126.24,0.62877,0.44359,0.95283,0.98399,0.99131,0.99057,0.87394,0.54941,0.31386,0.85955,0.000186461,0.000186461,0.000186461
3,189.44,0.64621,0.46698,0.95689,0.97809,0.98855,0.98946,0.8586,0.59607,0.35023,0.8793,0.000274252,0.000274252,0.000274252
4,252.59,0.66173,0.49333,0.96718,0.98177,0.97789,0.98875,0.86188,0.58158,0.3426,0.87217,0.000269012,0.000269012,0.000269012
5,316.102,0.65957,0.49803,0.96342,0.979,0.9779,0.98929,0.86661,0.57311,0.34174,0.87165,0.000263349,0.000263349,0.000263349
6,379.903,0.65743,0.48184,0.9637,0.97423,0.96676,0.97555,0.84498,0.60549,0.3545,0.88189,0.000257686,0.000257686,0.000257686
7,443.585,0.66384,0.48588,0.96513,0.98233,0.98744,0.99028,0.86638,0.58751,0.33718,0.87658,0.000252023,0.000252023,0.000252023
8,507.335,0.64213,0.47236,0.95976,0.98701,0.98827,0.99089,0.87728,0.56361,0.32413,0.86839,0.00024636,0.00024636,0.00024636
9,570.805,0.65256,0.479,0.96383,0.98128,0.97278,0.98872,0.86699,0.58076,0.34574,0.88364,0.000240698,0.000240698,0.000240698
10,634.314,0.6485,0.47285,0.95835,0.98029,0.98781,0.98993,0.86835,0.58192,0.33775,0.87508,0.000235035,0.000235035,0.000235035
11,698.15,0.63971,0.45718,0.95412,0.96812,0.98983,0.99077,0.87006,0.55997,0.32379,0.86679,0.000229372,0.000229372,0.000229372
